uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
02ae27ad-d4a5-435a-be16-2b1e0fad355f,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,9aee65d4-ffb1-4682-8e5f-f1a004d277ee,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,NC25-51243-8,NC25-51243-8,LINHAGEM,Faixa,25,300,79,5,4,4,5,5,5,4,5,,4.62
02eac462-77c5-4505-b7a1-4149457ffae8,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,330f4b06-bd79-4213-9771-5f117f1b18bd,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,NC25-96785-1,71KA72 CE,DP2,Faixa,6,300,70,4,4,4,5,5,5,5,5,,4.62
02f57828-858d-46fa-8099-a920d75bb42f,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,08746ae9-e8fe-49f8-b8b0-a78b348062b3,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-16,2025-02-09,-12.385359,-55.593431,380,Luiz Penna,NC25-67354-3,NC25-67354-3,LINHAGEM,Faixa,37,300,82,4,4,4,5,5,5,4,5,,4.5
031bb7e1-cde3-406c-948b-cf1d10b63c71,a7eda3bc-7924-4f0c-8112-0a7a53044934,57049074-f856-4c8d-aef7-af4d42f88bbc,564759b0-73ab-4aea-a312-96f25e699d5b,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-303-A-24,Agro Firmino,Caldas Novas,GO,MACRO III,REC 303,2024/25,Safra,2024-11-06,2025-03-03,-17.611116,-48.654321,705,Rafael Ribeiro,NC25-60864-1,NC25-60864-1,LINHAGEM,Faixa,39,300,82,4,3,5,1,2,5,5,4,,3.62
0320a908-5305-4506-bde3-7dd95fe18909,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,c38a887a-b58a-4f19-b7e0-efa9ae1a271b,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,76KA72,76KA72 CE,DP2,Faixa,19,300,76,3,3,3,5,5,5,3,4,,3.88
03480175-ff8a-49bd-857e-ead9d04b1742,70ea278a-a5bd-4728-b221-3f40925a5246,eca18761-3bee-42bb-b171-f06abb5130c9,4a4a041e-d1c6-4a70-864a-1479e45e400c,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-C-24,Rancho 60,Querência,MT,MACRO IV,REC 403,2024/25,Safra,2024-11-05,2025-03-04,-12.26784,-51.70005,364,Maklane Duarte,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,2,300,69,0,0,0,0,0,0,0,0,,0.0
03ab775d-773b-43bb-b61c-fde04728599f,78761a4c-7cbd-4807-a56a-e5dc460706c1,2c2663ac-0c31-45c6-a11f-136cc1a5548d,7ad26bed-aa41-4b96-82c9-98dd5df4d60d,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-B-24,Fortuna,Costa Rica,MS,MACRO III,REC 301,2024/25,Safra,2024-11-02,2025-02-28,-18.4089,-52.9393,860,Luiz Neves,DM 74K75 CE,DM 74K75 RSF CE,CHECK,Faixa,21,300,74,5,4,5,5,5,5,5,5,,4.88
03b413c1-84c1-4a87-ae18-ddd8c60ef735,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,e60c48a1-73b5-4d64-b5a8-f8a7d1170529,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,2024-10-09,2025-02-13,-14.0275,-59.190277,660,Milena Goulart,NC25-61547-2,NC25-61547-2,LINHAGEM,Faixa,39,300,82,3,4,3,4,4,5,4,4,,3.88
03ca50b2-d669-4b96-bffa-b1ec71750e0a,b0ecc367-960b-4538-860a-6fcc994d0370,4d54249f-2598-4974-ba0b-b0da179b7867,0c9beb65-80fe-48f0-be6a-b02d24e91ed7,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-D-24,Fazenda Veneza II,Caseara,TO,MACRO V,REC 501,2024/25,Safra,2024-11-12,2025-03-11,-93.16135,-49.9151,200,Pedro Lucas Ramos,DM 82I78 IPRO,DM 82I78 IPRO,CHECK,Faixa,25,300,82,4,4,3,4,5,5,3,3,,3.88
03eed58c-3e70-405c-bfc1-95b08a5d4f9c,cf83c0ab-f01b-49f5-9eb3-b787fcba6d44,594edb69-93b1-4198-bca7-53fa31600f53,e339a07a-37bb-4e51-bd5d-dece7d94a8e6,df4e05ad-5053-463d-a3c3-463d00849eb9,M4-405-B-24,Marina,Correntina,BA,MACRO IV,REC 405,2024/25,Safra,2024-11-12,2025-03-11,0.0,0.0,0,Rafael Ribeiro,NC25-74541-8,NC25-74541-8,LINHAGEM,Faixa,33,300,86,4,4,5,5,5,5,4,5,,4.62
